scenario,month,active_pib,token_price_usd,storage_price_usd_per_gibmonth,issuance_monthly_nil,bps,cost_usd_per_gibmonth
Slow (10 PiB cap),78,9.525741268224333,0.0044984565824184135,0.0044984565824184135,29385.4781895392,29.419417382415922,0.004531933834216781
Slow (10 PiB cap),79,9.568927450589138,0.004477353781131467,0.004477353781131467,29269.82113768936,29.171374544281356,0.004510562929558222
Slow (10 PiB cap),80,9.608342772032357,0.004456527758798301,0.004456527758798301,29154.507321949448,28.937253280921478,0.004489478100963873
Slow (10 PiB cap),81,9.644288107273638,0.004435959860787138,0.004435959860787138,29040.102897908135,28.716272234383503,0.004468660103258996
Slow (10 PiB cap),82,9.677045353015496,0.004415633033859359,0.004415633033859359,28927.091989758752,28.507693900966792,0.0044480913340025525
Slow (10 PiB cap),83,9.706877692486437,0.0043955317061137415,0.0043955317061137415,28815.884358955955,28.310822169872797,0.004427755710438635
Slow (10 PiB cap),84,9.73403006423134,0.004375641672350326,0.004375641672350326,28706.822743025932,28.125,0.004407638552079388
Slow (10 PiB cap),85,9.758729785823308,0.0043559499853377615,0.0043559499853377615,28600.189798261326,27.949607227130294,0.004387726469390903
Slow (10 PiB cap),86,9.781187290638695,0.00433644485327454,0.00433644485327454,28496.21460393333,27.78405849418856,0.004368007258860295
Slow (10 PiB cap),87,9.801596942659225,0.004317115543577108,0.004317115543577108,28395.07870486289,27.627801297667858,0.004348469804564907
Slow (10 PiB cap),88,9.820137900379084,0.004297952293001878,0.004297952293001878,28296.921684312045,27.480314143700312,0.004329103986239018
Slow (10 PiB cap),89,9.836975006285591,0.00427894622400954,0.00427894622400954,28201.84627077877,27.341104807619814,0.004309900593735263
Slow (10 PiB cap),90,9.85225968306727,0.004260089267204615,0.004260089267204615,28109.92299096338,27.20970869120796,0.004290851247702953
Slow (10 PiB cap),91,9.86613082172335,0.004241374089627269,0.004241374089627269,28021.194387433927,27.085687272140678,0.004271948326250172
Slow (10 PiB cap),92,9.878715650157257,0.004222794028634716,0.004222794028634716,27935.67882380496,26.96862664046074,0.004253184897317353
Slow (10 PiB cap),93,9.89013057369407,0.004204343031083099,0.004204343031083099,27853.373902954176,26.85813611719175,0.004234554656464192
Slow (10 PiB cap),94,9.900481981330957,0.004186015597505089,0.004186015597505089,27774.259525273206,26.753846950483396,0.00421605186975666
Slow (10 PiB cap),95,9.909867013471521,0.004167806730971296,0.004167806730971296,27698.30061446365,26.6554110849364,0.004197671321434327
Slow (10 PiB cap),96,9.918374288468401,0.004149711890323185,0.004149711890323185,27625.449538185272,26.5625,0.00417940826603831
Slow (10 PiB cap),97,9.926084586557181,0.004131726947469936,0.004131726947469936,27555.64825012993,26.474803613565147,0.004161258384685465
Slow (10 PiB cap),98,9.933071490757152,0.00411384814845032,0.00411384814845032,27488.830178988253,26.392029247094282,0.004143217745183548
Slow (10 PiB cap),99,9.939401985084158,0.004096072077972054,0.004096072077972054,27424.921888418932,26.31390064883393,0.00412528276569395
Slow (10 PiB cap),100,9.945137011005494,0.0040783956271545066,0.0040783956271545066,27363.844530619503,26.240157071850156,0.00410745018166247
Slow (10 PiB cap),101,9.95033198349943,0.0040608159642152525,0.0040608159642152525,27305.51511450676,26.170552403809907,0.004089717015753593
Slow (10 PiB cap),102,9.955037268390589,0.0040433305078563,0.0040433305078563,27249.847607901098,26.104854345603982,0.004072080550539525
Slow (10 PiB cap),103,9.95929862284104,0.004025936903121484,0.004025936903121484,27196.753891513323,26.042843636070337,0.004054538303711198
Slow (10 PiB cap),104,9.96315760100564,0.004008632999512073,0.004008632999512073,27146.144580985456,25.98431332023037,0.004037088005594391
