  PID  %CPU COMM
29847   0.0 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
26447   0.0 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
18333   0.0 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
82248   0.0 /usr/libexec/taskgated
66406   0.0 /System/Library/PrivateFrameworks/FileProviderDaemon.framework/XPCServices/FPCKService.xpc/Contents/MacOS/FPCKService
61663   0.0 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
21516   0.0 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
 3275   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
87667   0.0 ssh
64423   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
56021   0.0 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
51813   0.0 /usr/libexec/PerfPowerServices
29785   0.0 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
25609   0.0 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
25586   0.0 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
25528   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
25526   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
12198   0.0 /System/Library/Frameworks/Translation.framework/translationd
11425   0.0 /Users/michaelseiler/Library/Caches/com.openai.codex/org.sparkle-project.Sparkle/Launcher/a8vi9qY2s/Updater.app/Contents/MacOS/Updater
11424   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Sparkle.framework/Versions/B/Autoupdate
 4985   0.0 /Applications/ChatGPT.app/Contents/Resources/codex-code-mode-host
 4948   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.64/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
 4947   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.64/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
 3551   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
 3552   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
 3464   0.0 /Users/michaelseiler/.codex/computer-use/Codex Computer Use.app/Contents/MacOS/SkyComputerUseService
